# META,public,LGE Pressure Sensor Non-wakeup,LGE,string_type=android.sensor.pressure,min_delay_us=40000,max_delay_us=1000000,resolution_hpa=0.0016
# META,unfiltered,LGE Unfiltered Pressure  Non-wakeup,Goertek,string_type=lge.sensor.lg_unfiltered_pressure,min_delay_us=31250,max_delay_us=1000000,resolution_hpa=0.01
source,timestamp_ns,pressure_hpa
public,668207653848982,981.80163574
public,668207693848982,981.80163574
unfiltered,668207715077888,981.80249023
public,668207733848982,981.80163574
unfiltered,668207746360857,981.80249023
public,668207773848982,981.80163574
unfiltered,668207777622055,981.80291748
unfiltered,668207808864502,981.80255127
unfiltered,668207840118148,981.80267334
public,668207813848982,981.80169678
public,668207853848982,981.80169678
unfiltered,668207871364502,981.80377197
public,668207893848982,981.80194092
unfiltered,668207902616117,981.80395508
public,668207933848982,981.80200195
unfiltered,668207933863721,981.80297852
unfiltered,668207965116586,981.80255127
public,668207973848982,981.80200195
unfiltered,668207996363461,981.80236816
unfiltered,668208027616638,981.80212402
public,668208013848982,981.80200195
public,668208053848982,981.80194092
unfiltered,668208058866065,981.80157471
unfiltered,668208090113461,981.80078125
unfiltered,668208121363721,981.80126953
public,668208093848982,981.80169678
unfiltered,668208152613773,981.80151367
public,668208133848982,981.80163574
unfiltered,668208183873357,981.80053711
public,668208173848982,981.80163574
unfiltered,668208215114242,981.79992676
public,668208213848982,981.80163574
unfiltered,668208246357992,981.79931641
public,668208253848982,981.80151367
unfiltered,668208277608825,981.79882813
unfiltered,668208308859815,981.79888916
public,668208293848982,981.80145264
public,668208333848982,981.80139160
unfiltered,668208340111898,981.79827881
unfiltered,668208371357211,981.79669189
unfiltered,668208402607732,981.79492188
public,668208373848982,981.80139160
unfiltered,668208433857523,981.79522705
public,668208413848982,981.80133057
public,668208453848982,981.80102539
unfiltered,668208465111638,981.79663086
unfiltered,668208496327419,981.79742432
public,668208493848982,981.80096436
unfiltered,668208527607784,981.79748535
unfiltered,668208558861690,981.79663086
public,668208533848982,981.80084229
unfiltered,668208590122575,981.79656982
public,668208573848982,981.80084229
unfiltered,668208621362419,981.79693604
public,668208613848982,981.80084229
unfiltered,668208652610127,981.79669189
unfiltered,668208683859294,981.79614258
public,668208653848982,981.80084229
unfiltered,668208715108044,981.79486084
public,668208693848982,981.80078125
public,668208733848982,981.80078125
unfiltered,668208746357732,981.79345703
unfiltered,668208777607471,981.79370117
public,668208773848982,981.80072021
unfiltered,668208808857992,981.79357910
unfiltered,668208840107732,981.79345703
public,668208813848982,981.80065918
public,668208853848982,981.80059814
unfiltered,668208871357732,981.79357910
unfiltered,668208902610909,981.79376221
public,668208893848982,981.80059814
unfiltered,668208933857732,981.79406738
public,668208933848982,981.80059814
unfiltered,668208965107732,981.79406738
unfiltered,668208996357211,981.79400635
public,668208973848982,981.80059814
unfiltered,668209027607992,981.79321289
public,668209013848982,981.80053711
unfiltered,668209058857732,981.79321289
public,668209053848982,981.80035400
unfiltered,668209090107992,981.79437256
public,668209093848982,981.80023193
unfiltered,668209121357419,981.79541016
public,668209133848982,981.80010986
unfiltered,668209152608513,981.79595947
unfiltered,668209183857471,981.79626465
public,668209173848982,981.80010986
unfiltered,668209215156638,981.79571533
public,668209213848982,981.80010986
unfiltered,668209246357732,981.79528809
unfiltered,668209277612211,981.79541016
public,668209253848982,981.80010986
unfiltered,668209308857732,981.79400635
public,668209293848982,981.80010986
public,668209333848982,981.79992676
unfiltered,668209340112940,981.79278564
unfiltered,668209371358773,981.79388428
unfiltered,668209402612159,981.79608154
public,668209373848982,981.79986572
unfiltered,668209433857211,981.79772949
public,668209413848982,981.79943848
unfiltered,668209465121794,981.79827881
public,668209453848982,981.79919434
unfiltered,668209496367107,981.79760742
public,668209493848982,981.79919434
unfiltered,668209527613461,981.79724121
public,668209533848982,981.79888916
unfiltered,668209558864242,981.79736328
unfiltered,668209590128773,981.79669189
public,668209573848982,981.79870605
unfiltered,668209621364242,981.79742432
public,668209613848982,981.79870605
unfiltered,668209652616013,981.79852295
public,668209653848982,981.79858398
unfiltered,668209683865805,981.79821777
unfiltered,668209715124398,981.79748535
public,668209693848982,981.79852295
public,668209733848982,981.79840088
unfiltered,668209746367888,981.79681396
public,668209773848982,981.79809570
unfiltered,668209777617627,981.79705811
unfiltered,668209808866377,981.79791260
