# META,lps22hh Pressure Sensor Non-wakeup,STMicro,min_delay_us=40000,max_delay_us=1000000,resolution_hpa=2.0E-4
timestamp_ns,pressure_hpa
82280942764226,981.29443359
82280982763653,981.29150391
82281022764643,981.30004883
82281062763706,981.29858398
82281102763549,981.29052734
82281142762456,981.29345703
82281182756778,981.28979492
82281222762664,981.29663086
82281262762872,981.29541016
82281302800945,981.30224609
82281342801049,981.30297852
82281382800737,981.30029297
82281422801258,981.29565430
82281462801101,981.29370117
82281502753966,981.29077148
82281542753966,981.29248047
82281582754747,981.29345703
82281622757560,981.29199219
82281662816726,981.29614258
82281702756206,981.29711914
82281742741206,981.29321289
82281782763706,981.28759766
82281822765112,981.28833008
82281862763081,981.28759766
82281902761726,981.28076172
82281942762976,981.27758789
82281982761778,981.27172852
82282022761883,981.26928711
82282062762820,981.26953125
82282102764331,981.27075195
82282142763393,981.27368164
82282182763237,981.27246094
82282222763393,981.27905273
82282262764018,981.27783203
82282302764122,981.27563477
82282342764018,981.27514648
82282382764122,981.27270508
82282422764070,981.27685547
82282462800737,981.27124023
82282502800997,981.27490234
82282542800528,981.27929688
82282582754695,981.27587891
82282622754174,981.27026367
82282662754487,981.26416016
82282702754435,981.25903320
82282742744695,981.26220703
82282782762664,981.26489258
82282822762664,981.26586914
82282862763445,981.26708984
82282902763445,981.27221680
82282942766101,981.26660156
82282982763341,981.26367188
82283022763393,981.25756836
82283062763862,981.25634766
82283102763393,981.25610352
82283142765216,981.25805664
82283182763341,981.26513672
82283222762612,981.27050781
82283262762924,981.25610352
82283302763653,981.25488281
82283342763601,981.25366211
82283382763810,981.25317383
82283422763862,981.25610352
82283462763862,981.26147461
82283502800476,981.26635742
82283542801049,981.26831055
82283582763810,981.27172852
82283622803549,981.25952148
82283662800268,981.26123047
82283702754435,981.26025391
82283742754383,981.26464844
82283782754174,981.26708984
82283822740997,981.26245117
82283862756153,981.26245117
82283902760008,981.26098633
82283942762456,981.25659180
82283982762091,981.26586914
82284022762872,981.26684570
82284062762403,981.26831055
82284102762351,981.27124023
82284142762351,981.26562500
82284182762351,981.26269531
82284222763185,981.26098633
82284262763028,981.25561523
82284302763706,981.24853516
82284342764226,981.25048828
82284382764383,981.25634766
82284422763341,981.26000977
82284462763445,981.25683594
82284502764174,981.25830078
82284542763862,981.25708008
82284582763028,981.25463867
82284622762976,981.25756836
82284662800320,981.26196289
82284702800841,981.26147461
82284742800997,981.26196289
82284782755893,981.25170898
82284822753862,981.25000000
82284862754122,981.25024414
82284902746778,981.25488281
82284942763289,981.25439453
82284982765164,981.25415039
82285022762924,981.25732422
82285062762560,981.25048828
82285102762508,981.25000000
82285142762664,981.25268555
82285182762560,981.25268555
82285222762924,981.25219727
82285262762612,981.25341797
82285302763289,981.25170898
82285342764383,981.25244141
82285382763393,981.25952148
82285422763862,981.26416016
82285462763862,981.26074219
82285502764487,981.25854492
82285542763341,981.26098633
82285582763393,981.25488281
82285622764226,981.25610352
82285662800372,981.25268555
82285702800424,981.25170898
82285742801414,981.25415039
82285782800320,981.25634766
82285822803497,981.25488281
82285862753862,981.25976563
82285902754122,981.26831055
82285942754122,981.27172852
82285982754903,981.26684570
82286022742768,981.26660156
82286062755893,981.25683594
82286102759174,981.25830078
82286142762456,981.25854492
82286182762872,981.26220703
82286222762612,981.25756836
82286262762664,981.25585938
82286302762351,981.25830078
82286342762403,981.25610352
82286382762143,981.25537109
82286422761726,981.25708008
82286462762403,981.26293945
82286502763758,981.26611328
82286542763549,981.25903320
82286582762299,981.25952148
82286622763706,981.25878906
82286662763706,981.25927734
82286702763445,981.26123047
82286742763133,981.25488281
82286782764435,981.25341797
82286822762768,981.26000977
82286862800581,981.25195313
82286902800945,981.25415039
82286942801101,981.26147461
82286982753862,981.26318359
82287022754435,981.26220703
82287062753862,981.25878906
82287102745685,981.25952148
82287142763341,981.26074219
82287182763549,981.26440430
82287222764174,981.26928711
82287262763393,981.26489258
82287302763445,981.26220703
82287342763810,981.26464844
82287382763706,981.26049805
82287422763706,981.25952148
82287462763445,981.25341797
82287502763289,981.24951172
82287542763445,981.25268555
82287582763393,981.25292969
82287622763706,981.24951172
82287662763341,981.24536133
82287702762612,981.25415039
82287742762664,981.25341797
82287782763393,981.25292969
82287822763393,981.26049805
82287862800372,981.26245117
82287902801726,981.25439453
82287942764331,981.25634766
82287982804278,981.25781250
82288022802143,981.26220703
82288062754643,981.26293945
82288102755164,981.26538086
82288142754643,981.26000977
82288182759591,981.25512695
82288222864018,981.25708008
82288262755893,981.25537109
82288302756258,981.26171875
82288342762976,981.25903320
82288382762612,981.26708984
82288422762664,981.26245117
82288462762247,981.26464844
82288502762612,981.26782227
82288542761883,981.26611328
82288582762456,981.27050781
82288622762716,981.26562500
82288662763549,981.27001953
82288702763289,981.27636719
82288742763237,981.27270508
82288782763445,981.27783203
82288822763914,981.27148438
82288862763601,981.26611328
82288902763810,981.27026367
82288942764018,981.27270508
82288982763758,981.27465820
82289022801101,981.27221680
82289062800633,981.27368164
82289102800841,981.27563477
82289142757195,981.27343750
82289182754643,981.26513672
82289222753862,981.26611328
82289262760997,981.26489258
82289302742091,981.26245117
82289342763028,981.27001953
82289382763289,981.27319336
82289422763914,981.27612305
82289462763341,981.27685547
82289502765268,981.27392578
82289542763706,981.26440430
82289582762612,981.25756836
82289622763081,981.26196289
82289662763810,981.26318359
82289702741570,981.26171875
82289742761622,981.26757813
82289782763341,981.26586914
82289822762872,981.26806641
82289862763706,981.26220703
82289902764435,981.27099609
82289942764122,981.26953125
82289982762872,981.26928711
82290022764383,981.27124023
82290062763393,981.26367188
82290102763393,981.26342773
82290142801206,981.26489258
82290182756101,981.26757813
82290222802143,981.27880859
82290262754643,981.27026367
82290302754122,981.27124023
82290342754695,981.26757813
82290382740945,981.26538086
82290422762560,981.26782227
82290462763028,981.26147461
82290502763914,981.26171875
82290542763914,981.26000977
82290582764487,981.27172852
82290622765112,981.27270508
82290662763914,981.26977539
82290702763133,981.26733398
82290742765112,981.26538086
82290782763914,981.26806641
82290822762560,981.26855469
82290862765685,981.26855469
82290902763445,981.26782227
82290942762560,981.26538086
82290982762508,981.26513672
82291022763393,981.26928711
82291062762664,981.26562500
82291102762508,981.26293945
82291142800945,981.27050781
82291182801622,981.27075195
82291222764070,981.26416016
82291262801153,981.26708984
82291302800112,981.26171875
82291342753862,981.25561523
82291382753341,981.25268555
82291422754122,981.25708008
82291462756258,981.25439453
82291502802299,981.26098633
82291542755945,981.25952148
82291582741153,981.26684570
82291622762403,981.26586914
82291662761570,981.26171875
82291702762456,981.25634766
82291742761414,981.25854492
82291782762456,981.25903320
82291822762351,981.26367188
82291862762456,981.26220703
82291902762820,981.26879883
82291942763914,981.26757813
82291982763706,981.27172852
82292022762872,981.27172852
82292062762768,981.26611328
82292102762768,981.25537109
82292142764122,981.25488281
82292182763341,981.25878906
82292222763653,981.26269531
82292262763289,981.25610352
82292302800372,981.26171875
82292342801101,981.25952148
82292382800841,981.26123047
82292422765633,981.25683594
82292462753862,981.26074219
82292502754383,981.25830078
82292542754122,981.26147461
82292582741153,981.26245117
82292622762976,981.25976563
82292662762872,981.25878906
82292702763289,981.26782227
82292742763133,981.26977539
82292782762612,981.26464844
82292822762456,981.26391602
82292862763341,981.25781250
82292902762872,981.26342773
82292942763601,981.27026367
82292982762664,981.26684570
82293022763289,981.25781250
82293062762924,981.26806641
82293102763393,981.26831055
82293142762664,981.26928711
82293182762612,981.26953125
82293222763289,981.26245117
82293262763081,981.25756836
82293302762612,981.25805664
82293342801310,981.25976563
82293382801466,981.25659180
82293422801518,981.25244141
82293462800841,981.25195313
82293502805008,981.25097656
82293542753601,981.25512695
82293582754903,981.25927734
82293622754383,981.26416016
82293662741674,981.26586914
82293702755789,981.26000977
82293742757768,981.26586914
82293782741310,981.26196289
82293822761674,981.25048828
82293862762143,981.25366211
82293902761778,981.25854492
82293942762299,981.26416016
82293982762143,981.26269531
82294022762143,981.25927734
82294062762351,981.25903320
82294102762456,981.25976563
82294142763497,981.26391602
82294182763601,981.26513672
82294222764226,981.26855469
82294262763601,981.26586914
82294302764070,981.26342773
82294342763289,981.27075195
82294382763341,981.26855469
82294422763185,981.26806641
82294462762872,981.26879883
82294502800372,981.26440430
82294542800737,981.26464844
82294582762768,981.26562500
82294622754122,981.26684570
82294662753862,981.26684570
82294702754383,981.26171875
82294742754383,981.26464844
82294782740841,981.26293945
82294822763185,981.26416016
82294862763289,981.26416016
82294902764591,981.26684570
82294942763862,981.26416016
82294982764331,981.26611328
82295022763862,981.26562500
82295062763393,981.26684570
82295102763914,981.26391602
82295142763445,981.26733398
82295182763341,981.26635742
82295222763185,981.26855469
82295262762716,981.26733398
82295302762924,981.26318359
82295342763914,981.26831055
82295382763497,981.26586914
82295422762872,981.27050781
82295462762924,981.26904297
82295502801414,981.26904297
82295542800945,981.26342773
82295582764435,981.26782227
82295622800841,981.26049805
82295662800581,981.26684570
82295702775997,981.25952148
82295742753862,981.26220703
82295782754643,981.26538086
82295822753601,981.26000977
82295862743497,981.26025391
82295902756987,981.25659180
82295942759383,981.25756836
82295982763237,981.25561523
82296022763133,981.25683594
82296062762924,981.26489258
82296102763237,981.26318359
82296142762976,981.25878906
82296182762091,981.26293945
82296222762976,981.26098633
82296262762351,981.25952148
82296302762143,981.26342773
82296342764174,981.25854492
82296382763758,981.25976563
82296422763133,981.26196289
82296462763497,981.26342773
82296502762768,981.26562500
82296542764070,981.25952148
82296582762768,981.26000977
82296622763810,981.25634766
82296662763081,981.26196289
82296702800424,981.26293945
82296742800945,981.25756836
82296782800528,981.25537109
82296822754383,981.26513672
82296862754383,981.26440430
82296902754695,981.26269531
